,Cand_Name,Cand_Id,Cand_Party_Affiliation,Cand_Office_St,Total_Receipt,Candidate,District,Office Type,Won Primary,Election Race,Num_Candidates,Receipts_Sum,Receipts_Prop
453,"PARNELL, ARCHIE",H8SC05174,DEM,SC,2039416.09,Archie Parnell,U.S. House South Carolina District 5,Representative,1.0,"('U.S. House South Carolina District 5', 'Representative')",2,2039416.09,1.0
454,"PATE, AVA",H6TX18158,REP,TX,10883.41,Ava Pate,U.S. House Texas District 18,Representative,1.0,"('U.S. House Texas District 18', 'Representative')",1,10883.41,1.0
455,"PATTERSON, KEN",S8MO00285,REP,MO,0.0,Ken Patterson,U.S. Senate Missouri,Senator,0.0,"('U.S. Senate Missouri', 'Senator')",6,656083.49,0.0
456,"PATTON, JACKIE",H8OH12214,DEM,OH,33439.54,Jackie Patton,U.S. House Ohio District 12,Representative,0.0,"('U.S. House Ohio District 12', 'Representative')",18,7280690.9,0.00459290752200454
457,"PATTON, JACKIE",H8OH12214,DEM,OH,33439.54,Jackie Patton,U.S. House Ohio District 12,Representative,0.0,"('U.S. House Ohio District 12', 'Representative')",18,7280690.9,0.00459290752200454
458,"PAYNE, RACHEL",H8CA48159,DEM,CA,388067.99,Rachel Payne,U.S. House California District 48,Representative,0.0,"('U.S. House California District 48', 'Representative')",5,3344733.0700000003,0.11602360543527618
459,"PAYNE, TOM",H6WV02119,DEM,WV,0.0,Tom Payne,U.S. House West Virginia District 1,Representative,0.0,"('U.S. House West Virginia District 1', 'Representative')",2,652981.25,0.0
460,"PAYTON, PHILIP",H8WV03147,REP,WV,0.0,Philip Payton,U.S. House West Virginia District 3,Representative,0.0,"('U.S. House West Virginia District 3', 'Representative')",4,201678.56,0.0
461,"PEACOCK, JULIA",H8CA42228,DEM,CA,159046.35,Julia Peacock,U.S. House California District 42,Representative,1.0,"('U.S. House California District 42', 'Representative')",2,295257.65,0.5386697008527975
462,"PECHEFSKY, DAVID",H8NY01163,DEM,NY,303457.9,David Pechefsky,U.S. House New York District 1,Representative,0.0,"('U.S. House New York District 1', 'Representative')",2,5379239.74,0.05641278594510086
463,"PEDIGO, BRIAN",H0KY02061,DEM,KY,0.0,Brian Pedigo,U.S. House Kentucky District 2,Representative,0.0,"('U.S. House Kentucky District 2', 'Representative')",4,190886.86000000002,0.0
464,"PELLETIER, PAUL",H8VA10171,DEM,VA,651741.75,Paul Pelletier,U.S. House Virginia District 10,Representative,0.0,"('U.S. House Virginia District 10', 'Representative')",3,7870400.1899999995,0.08280922624850669
465,"PELZER, KIMBERLIN BROWN",H8CA36170,REP,CA,844037.02,Kimberlin Brown Pelzer,U.S. House California District 36,Representative,1.0,"('U.S. House California District 36', 'Representative')",4,878444.34,0.9608315308856109
466,"PENNINGTON, ALONZO",H8KY01082,DEM,KY,0.0,Alonzo Pennington,U.S. House Kentucky District 1,Representative,0.0,"('U.S. House Kentucky District 1', 'Representative')",2,51853.84,0.0
467,"PENSLER, SANDY",S8MI00414,REP,MI,5235246.9,Sandy Pensler,U.S. Senate Michigan,Senator,0.0,"('U.S. Senate Michigan', 'Senator')",2,17786713.42,0.2943346967131829
468,"PEREZ WILLIAMS, JUANITA",H8NY24132,DEM,NY,181806.44,Juanita Perez Williams,U.S. House New York District 24,Representative,0.0,"('U.S. House New York District 24', 'Representative')",2,2917440.85,0.06231709547770266
469,"PERKINS, JO RAE",H6OR04203,REP,OR,14623.38,Jo Rae Perkins,U.S. House Oregon District 4,Representative,0.0,"('U.S. House Oregon District 4', 'Representative')",3,14623.38,1.0
470,"PERRY, CHRISTY",H8ID01173,REP,ID,31792.0,Christy Perry,U.S. House Idaho District 1,Representative,0.0,"('U.S. House Idaho District 1', 'Representative')",4,1111129.81,0.028612318483292244
471,"PERSSON, CARL",H8NC12127,REP,NC,4270.0,Carl Persson,U.S. House North Carolina District 12,Representative,0.0,"('U.S. House North Carolina District 12', 'Representative')",3,13304.0,0.3209561034275406
472,"PETERS, JOE",H8PA11103,REP,PA,83384.0,Joe Peters,U.S. House Pennsylvania District 8,Representative,0.0,"('U.S. House Pennsylvania District 8', 'Representative')",1,83384.0,1.0
473,"PETERS, JOHN",H8OH12149,DEM,OH,0.0,John Peters,U.S. House Ohio District 12,Representative,0.0,"('U.S. House Ohio District 12', 'Representative')",18,7280690.9,0.0
474,"PETERSEN, AUSTIN",S8MO00145,REP,MO,650946.49,Austin Petersen,U.S. Senate Missouri,Senator,0.0,"('U.S. Senate Missouri', 'Senator')",6,656083.49,0.9921702038257356
475,"PETERSON, DAVID",H6CA01202,DEM,CA,17275.0,David Peterson,U.S. House California District 1,Representative,0.0,"('U.S. House California District 1', 'Representative')",2,1114859.95,0.015495219825593341
476,"PFEIFER, PETER",S8MO00293,REP,MO,0.0,Peter Pfeifer,U.S. Senate Missouri,Senator,0.0,"('U.S. Senate Missouri', 'Senator')",6,656083.49,0.0
477,"PHAM, ETHAN",H8GA07177,DEM,GA,449570.44,Ethan Pham,U.S. House Georgia District 7,Representative,0.0,"('U.S. House Georgia District 7', 'Representative')",5,5103604.22,0.0880888134385938
478,"PHOENIX, JESS",H8CA25082,DEM,CA,495219.91,Jess Phoenix,U.S. House California District 25,Representative,0.0,"('U.S. House California District 25', 'Representative')",3,1720933.32,0.2877624044143674
479,"PIATT, PATTI",H8KY04144,DEM,KY,36119.61,Patti Piatt,U.S. House Kentucky District 4,Representative,0.0,"('U.S. House Kentucky District 4', 'Representative')",2,36119.61,1.0
480,"PIKUS, PATRICK",H8OH07131,DEM,OH,5525.0,Patrick Pikus,U.S. House Ohio District 7,Representative,0.0,"('U.S. House Ohio District 7', 'Representative')",1,5525.0,1.0
481,"PINJUV, GUY",H8NV03226,DEM,NV,1600.0,Guy Pinjuv,U.S. House Nevada District 3,Representative,0.0,"('U.S. House Nevada District 3', 'Representative')",10,5667748.680000001,0.00028229903800180495
482,"PLUMMER, LETITIA",H8TX22206,DEM,TX,131621.92,Letitia Plummer,U.S. House Texas District 22,Representative,0.0,"('U.S. House Texas District 22', 'Representative')",5,1807126.53,0.07283492207930786
483,"POLCE, NICK",H8WI01149,REP,WI,33623.0,Nick Polce,U.S. House Wisconsin District 1,Representative,0.0,"('U.S. House Wisconsin District 1', 'Representative')",2,33623.0,1.0
484,"POLEN, MICHAEL",H8OR04167,REP,OR,0.0,Michael Polen,U.S. House Oregon District 4,Representative,0.0,"('U.S. House Oregon District 4', 'Representative')",3,14623.38,0.0
485,"POUNDS, BUNNI",H8TX05128,REP,TX,905242.7,Bunni Pounds,U.S. House Texas District 5,Representative,0.0,"('U.S. House Texas District 5', 'Representative')",4,2286881.9,0.3958414730555172
486,"PRICE, PHILLIP",H8NC11103,DEM,NC,237942.85,Phillip Price,U.S. House North Carolina District 11,Representative,1.0,"('U.S. House North Carolina District 11', 'Representative')",3,314427.19,0.7567502352452408
487,"PROSCH, MATT",H8MN07094,REP,MN,600.0,Matt Prosch,U.S. House Minnesota District 7,Representative,0.0,"('U.S. House Minnesota District 7', 'Representative')",1,600.0,1.0
488,"PROSS, GORDON ALLEN",H8WA04048,REP,WA,0.0,Gordon Allen Pross,U.S. House Washington District 8,Representative,0.0,"('U.S. House Washington District 8', 'Representative')",5,6777897.6899999995,0.0
489,"PRUITT, AUTRY",H8TX08106,REP,TX,13191.0,Autry Pruitt,U.S. House Texas District 21,Representative,0.0,"('U.S. House Texas District 21', 'Representative')",11,5902529.11,0.0022348047344064688
490,"PUREVAL, AFTAB",H8OH01118,DEM,OH,4144106.29,Aftab Pureval,U.S. House Ohio District 1,Representative,1.0,"('U.S. House Ohio District 1', 'Representative')",1,4144106.29,1.0
491,"PYLE, DENNIS",H8KS02249,REP,KS,149876.59,Dennis Pyle,U.S. House Kansas District 2,Representative,0.0,"('U.S. House Kansas District 2', 'Representative')",4,2172365.42,0.06899234752134842
492,"QUDRAT, OMAR",H8CA52102,REP,CA,375254.09,Omar Qudrat,U.S. House California District 52,Representative,1.0,"('U.S. House California District 52', 'Representative')",3,1041020.89,0.36046739657645105
493,"QUICK, LAURA",H8PA09081,DEM,PA,24306.42,Laura Quick,U.S. House Pennsylvania District 9,Representative,0.0,"('U.S. House Pennsylvania District 9', 'Representative')",4,1852313.19,0.013122197763975324
494,"QUINTERO, NORMAN",H8CA42244,DEM,CA,136211.3,Norman Quintero,U.S. House California District 42,Representative,0.0,"('U.S. House California District 42', 'Representative')",2,295257.65,0.46133029914720236
495,"RAMSEY, GEORGE",H8IA01110,DEM,IA,71612.69,George Ramsey,U.S. House Iowa District 1,Representative,0.0,"('U.S. House Iowa District 1', 'Representative')",3,5014217.350000001,0.014281927766852786
496,"RAPINI, DOMINIC",S8CT00113,REP,CT,198123.57,Dominic Rapini,U.S. Senate Connecticut,Senator,0.0,"('U.S. Senate Connecticut', 'Senator')",1,198123.57,1.0
497,"RATIGAN, DYLAN",H8NY21344,DEM,NY,198480.76,Dylan Ratigan,U.S. House New York District 21,Representative,0.0,"('U.S. House New York District 21', 'Representative')",3,715162.9299999999,0.27753222611804
498,"RATTERREE, TROY",H8TX06340,REP,TX,52860.0,Troy Ratterree,U.S. House Texas District 6,Representative,0.0,"('U.S. House Texas District 6', 'Representative')",7,61596.0,0.8581726086109488
499,"RAYBOULD, JANE",S8NE00182,DEM,NE,2106074.58,Jane Raybould,U.S. Senate Nebraska,Senator,1.0,"('U.S. Senate Nebraska', 'Senator')",2,2141281.81,0.9835578718151069
500,"REDDICK, RACHEL",H8PA08141,DEM,PA,501766.01,Rachel Reddick,U.S. House Pennsylvania District 1,Representative,0.0,"('U.S. House Pennsylvania District 1', 'Representative')",2,556391.87,0.9018212469567537
502,"REED, WENDY",H6CA23206,DEM,CA,27394.25,Wendy Reed,U.S. House California District 23,Representative,0.0,"('U.S. House California District 23', 'Representative')",3,155492.97999999998,0.17617676373557187
503,"REEL, MATT",H8TN07100,DEM,TN,196825.78,Matt Reel,U.S. House Tennessee District 7,Representative,0.0,"('U.S. House Tennessee District 7', 'Representative')",2,691307.28,0.2847153294841622
504,"REMMER, LISA",H8CA12270,REP,CA,22442.61,Lisa Remmer,U.S. House California District 12,Representative,1.0,"('U.S. House California District 12', 'Representative')",1,22442.61,1.0
505,"RHEINHART, ALLEN",S6NV00309,DEM,NV,0.0,Allen Rheinhart,U.S. Senate Nevada,Senator,0.0,"('U.S. Senate Nevada', 'Senator')",4,28399690.35,0.0
506,"RICH, MICK",S8NM00200,REP,NM,968899.39,Mick Rich,U.S. Senate New Mexico,Senator,1.0,"('U.S. Senate New Mexico', 'Senator')",1,968899.39,1.0
507,"RIEGER, CHRIS",H8PA03126,DEM,PA,28536.85,Chris Rieger,U.S. House Pennsylvania District 16,Representative,0.0,"('U.S. House Pennsylvania District 16', 'Representative')",1,28536.85,1.0
508,"RITTEREISER, JASON",H8WA08163,DEM,WA,1044900.4,Jason Rittereiser,U.S. House Washington District 8,Representative,0.0,"('U.S. House Washington District 8', 'Representative')",5,6777897.6899999995,0.15416290534181848
509,"ROBERTS, KEVIN",H8TX02117,REP,TX,1086643.11,Kevin Roberts,U.S. House Texas District 2,Representative,0.0,"('U.S. House Texas District 2', 'Representative')",7,3785546.39,0.2870505332784999
510,"ROBERTS, SHAWNA",H8OH06133,DEM,OH,23027.73,Shawna Roberts,U.S. House Ohio District 6,Representative,1.0,"('U.S. House Ohio District 6', 'Representative')",2,23824.73,0.9665473648599585
511,"ROBERTSON, ANNABELLE",H8SC02114,DEM,SC,51246.43,Annabelle Robertson,U.S. House South Carolina District 2,Representative,0.0,"('U.S. House South Carolina District 2', 'Representative')",1,51246.43,1.0
512,"RODRIGUEZ, GEORGE",H8TX32122,DEM,TX,133793.68,George Rodriguez,U.S. House Texas District 32,Representative,0.0,"('U.S. House Texas District 32', 'Representative')",4,6811149.959999999,0.01964333200498202
513,"RODRIGUEZ, JUNIUS",H6IL18161,DEM,IL,78311.3,Junius Rodriguez,U.S. House Illinois District 18,Representative,1.0,"('U.S. House Illinois District 18', 'Representative')",3,98894.39,0.7918679714794743
514,"RODRIGUEZ-AGUILERA, BETTINA",H8FL27094,REP,FL,86042.82,Bettina Rodriguez-Aguilera,U.S. House Florida District 27,Representative,0.0,"('U.S. House Florida District 27', 'Representative')",7,3451467.7,0.0249293423780266
516,"ROGERS, WENDY",H2AZ09035,REP,AZ,1423836.68,Wendy Rogers,U.S. House Arizona District 1,Representative,1.0,"('U.S. House Arizona District 1', 'Representative')",3,2460954.9,0.5785708141177232
517,"ROLDAN-JOHNSON, DANIEL",H8IL14182,DEM,IL,0.0,Daniel Roldan-Johnson,U.S. House Illinois District 14,Representative,0.0,"('U.S. House Illinois District 14', 'Representative')",6,279346.48,0.0
518,"ROMLEY, KEN",H8NC02094,DEM,NC,655818.16,Ken Romley,U.S. House North Carolina District 2,Representative,0.0,"('U.S. House North Carolina District 2', 'Representative')",3,2383565.77,0.2751416253137416
519,"ROSE, MAX",H8NY11113,DEM,NY,4679140.33,Max Rose,U.S. House New York District 11,Representative,1.0,"('U.S. House New York District 11', 'Representative')",4,4847789.35,0.9652111492839516
520,"ROSEN, JACKY",S8NV00156,DEM,NV,26242152.35,Jacky Rosen,U.S. Senate Nevada,Senator,1.0,"('U.S. Senate Nevada', 'Senator')",4,28399690.35,0.9240295237937339
521,"ROSENDALE, MATT",S8MT00234,REP,MT,5994022.92,Matt Rosendale,U.S. Senate Montana,Senator,1.0,"('U.S. Senate Montana', 'Senator')",2,7489379.92,0.8003363407954873
522,"ROSSI, DINO",H8WA08205,REP,WA,4846553.35,Dino Rossi,U.S. House Washington District 8,Representative,1.0,"('U.S. House Washington District 8', 'Representative')",5,6777897.6899999995,0.715052597673542
523,"ROY, CHIP",H8TX21307,REP,TX,1895147.95,Chip Roy,U.S. House Texas District 21,Representative,1.0,"('U.S. House Texas District 21', 'Representative')",11,5902529.11,0.32107388454709374
525,"RUSSELL, JOHN",H8OH12271,DEM,OH,140127.85,John Russell,U.S. House Ohio District 12,Representative,0.0,"('U.S. House Ohio District 12', 'Representative')",18,7280690.9,0.01924650447665619
526,"RUSSELL, JOHN",H8OH12271,DEM,OH,140127.85,John Russell,U.S. House Ohio District 12,Representative,0.0,"('U.S. House Ohio District 12', 'Representative')",18,7280690.9,0.01924650447665619
527,"RYAN, JEREMY",H4WI01148,REP,WI,0.0,Jeremy Ryan,U.S. House Wisconsin District 1,Representative,0.0,"('U.S. House Wisconsin District 1', 'Representative')",2,33623.0,0.0
528,"RYMAN, FRED",S6MO00453,REP,MO,0.0,Fred Ryman,U.S. Senate Missouri,Senator,0.0,"('U.S. Senate Missouri', 'Senator')",6,656083.49,0.0
529,"SAAD, FAYROUZ",H8MI11262,DEM,MI,769824.46,Fayrouz Saad,U.S. House Michigan District 11,Representative,0.0,"('U.S. House Michigan District 11', 'Representative')",7,8157890.890000001,0.09436562346569946
530,"SAAVEDRA, JAZMINA",H8CA44125,REP,CA,0.0,Jazmina Saavedra,U.S. House California District 44,Representative,0.0,"('U.S. House California District 44', 'Representative')",2,44730.13,0.0
531,"SACCONE, RICK",H8PA18231,REP,PA,2040980.87,Rick Saccone,U.S. House Pennsylvania District 14,Representative,0.0,"('U.S. House Pennsylvania District 14', 'Representative')",4,3068491.45,0.6651414557469274
532,"SACCONE, RICK",S8PA00239,REP,PA,51207.0,Rick Saccone,U.S. House Pennsylvania District 14,Representative,0.0,"('U.S. House Pennsylvania District 14', 'Representative')",4,3068491.45,0.016688004784891936
533,"SALAZAR, MARIA ELVIRA",H8FL27185,REP,FL,2069164.06,Maria Elvira Salazar,U.S. House Florida District 27,Representative,1.0,"('U.S. House Florida District 27', 'Representative')",7,3451467.7,0.599502657956208
534,"SALERNO, LILLIAN",H8TX32148,DEM,TX,698945.72,Lillian Salerno,U.S. House Texas District 32,Representative,0.0,"('U.S. House Texas District 32', 'Representative')",4,6811149.959999999,0.10261787276813975
535,"SAN MIGUEL, EDNA",H6AZ03179,REP,AZ,13088.28,Edna San Miguel,U.S. House Arizona District 3,Representative,0.0,"('U.S. House Arizona District 3', 'Representative')",2,53434.99,0.24493838213500183
536,"SANBORN, ANDY",H8NH01160,REP,NH,882961.37,Andy Sanborn,U.S. House New Hampshire District 1,Representative,0.0,"('U.S. House New Hampshire District 1', 'Representative')",5,2480153.7399999998,0.3560107406890026
537,"SANCHEZ, IVAN",H8TX07165,DEM,TX,64535.97,Ivan Sanchez,U.S. House Texas District 7,Representative,0.0,"('U.S. House Texas District 7', 'Representative')",3,2005288.95,0.03218287818321644
538,"SANGARI, SARGIS",H8IL09190,REP,IL,32169.0,Sargis Sangari,U.S. House Illinois District 9,Representative,0.0,"('U.S. House Illinois District 9', 'Representative')",1,32169.0,1.0
539,"SANTOPIETRO, JUSTIN",H8VA09058,DEM,VA,26460.01,Justin Santopietro,U.S. House Virginia District 9,Representative,0.0,"('U.S. House Virginia District 9', 'Representative')",1,26460.01,1.0
540,"SANTOS, MANNY",H8CT05187,REP,CT,76037.51,Manny Santos,U.S. House Connecticut District 5,Representative,1.0,"('U.S. House Connecticut District 5', 'Representative')",1,76037.51,1.0
541,"SAREGA, ANDREW",H8CA39216,REP,CA,35835.0,Andrew Sarega,U.S. House California District 39,Representative,0.0,"('U.S. House California District 39', 'Representative')",7,8809080.65,0.004067961393905504
542,"SARVER, JENIFER",H8TX21315,REP,TX,213468.8,Jenifer Sarver,U.S. House Texas District 21,Representative,0.0,"('U.S. House Texas District 21', 'Representative')",11,5902529.11,0.03616564967690604
543,"SBAIH, JESSE",S8NV00149,DEM,NV,2157538.0,Jesse Sbaih,U.S. Senate Nevada,Senator,0.0,"('U.S. Senate Nevada', 'Senator')",4,28399690.35,0.0759704762062661
544,"SCANLON, MARY GAY",H8PA07200,DEM,PA,1935937.32,Mary Gay Scanlon,U.S. House Pennsylvania District 5,Representative,1.0,"('U.S. House Pennsylvania District 5', 'Representative')",8,3880740.18,0.4988577514096808
545,"SCHAFFNER, PAUL",S8ND00112,REP,ND,0.0,Paul Schaffner,U.S. House North Dakota At-large District,Representative,0.0,"('U.S. House North Dakota At-large District', 'Representative')",5,2970728.85,0.0
546,"SCHAFRANEK, ROBERT",H6TX29080,REP,TX,0.0,Robert Schafranek,U.S. House Texas District 29,Representative,0.0,"('U.S. House Texas District 29', 'Representative')",4,64005.75,0.0
547,"SCHEINBERG, AARON",H8WV02107,DEM,WV,588749.56,Aaron Scheinberg,U.S. House West Virginia District 2,Representative,0.0,"('U.S. House West Virginia District 2', 'Representative')",2,1293947.01,0.4550028366308448
548,"SCHILLER, JILL",H8OH02124,DEM,OH,606159.38,Jill Schiller,U.S. House Ohio District 2,Representative,1.0,"('U.S. House Ohio District 2', 'Representative')",2,663937.13,0.9129770766096482
549,"SCHNEIDER, JOSEPH",H8MA06133,REP,MA,263794.8,Joseph Schneider,U.S. House Massachusetts District 6,Representative,1.0,"('U.S. House Massachusetts District 6', 'Representative')",1,263794.8,1.0
550,"SCHOOLEY, TRAVIS",H2PA09092,REP,PA,23704.0,Travis Schooley,U.S. House Pennsylvania District 13,Representative,0.0,"('U.S. House Pennsylvania District 13', 'Representative')",4,1895910.83,0.012502697713900394
551,"SCHOONOVER, JOSHUA",H8CA50155,REP,CA,12322.56,Joshua Schoonover,U.S. House California District 49,Representative,0.0,"('U.S. House California District 49', 'Representative')",9,19966128.429999996,0.0006171732313153313
552,"SCOTT, GEORGE",H8PA04090,DEM,PA,2219555.91,George Scott,U.S. House Pennsylvania District 10,Representative,1.0,"('U.S. House Pennsylvania District 10', 'Representative')",2,2465412.29,0.9002777827476475
553,"SCOTT, ZACH",H8OH12164,DEM,OH,58967.62,Zach Scott,U.S. House Ohio District 12,Representative,0.0,"('U.S. House Ohio District 12', 'Representative')",18,7280690.9,0.00809917915894493
554,"SCOTT, ZACH",H8OH12164,DEM,OH,58967.62,Zach Scott,U.S. House Ohio District 12,Representative,0.0,"('U.S. House Ohio District 12', 'Representative')",18,7280690.9,0.00809917915894493
555,"SEDILLO LOPEZ, ANTOINETTE",H8NM01323,DEM,NM,1067042.16,Antoinette Sedillo Lopez,U.S. House New Mexico District 1,Representative,0.0,"('U.S. House New Mexico District 1', 'Representative')",5,4358793.38,0.24480218881125307
556,"SEEBERGER, RICK",H8TX16133,REC,TX,50106.01,Rick Seeberger,U.S. House Texas District 16,Representative,1.0,"('U.S. House Texas District 16', 'Representative')",4,2549109.5199999996,0.01965627981335224
557,"SERGENT, TALLEY",H8WV02115,DEM,WV,705197.45,Talley Sergent,U.S. House West Virginia District 2,Representative,1.0,"('U.S. House West Virginia District 2', 'Representative')",2,1293947.01,0.5449971633691553
558,"SESSIONS, RANE EIR OLIVIA",H8KY02098,DEM,KY,5753.2,Rane Eir Olivia Sessions,U.S. House Kentucky District 2,Representative,0.0,"('U.S. House Kentucky District 2', 'Representative')",4,190886.86000000002,0.030139319175767256
559,"SHEDD, TIFFANY",H8AZ01237,REP,AZ,598230.31,Tiffany Shedd,U.S. House Arizona District 1,Representative,0.0,"('U.S. House Arizona District 1', 'Representative')",3,2460954.9,0.24308869292972418
560,"SHEEHAN, MOLLY",H8PA07119,DEM,PA,238060.53,Molly Sheehan,U.S. House Pennsylvania District 5,Representative,0.0,"('U.S. House Pennsylvania District 5', 'Representative')",8,3880740.18,0.061344104206430015
561,"SHEETS, KENNETH",H8TX05094,REP,TX,196075.0,Kenneth Sheets,U.S. House Texas District 5,Representative,0.0,"('U.S. House Texas District 5', 'Representative')",4,2286881.9,0.08573901433213495
562,"SHEPHERD, RICK",H6NV02255,DEM,NV,37136.46,Rick Shepherd,U.S. House Nevada District 2,Representative,0.0,"('U.S. House Nevada District 2', 'Representative')",2,206176.46,0.18011978671085924
563,"SHERMAN, HOWARD",S8MS00246,DEM,MS,1207911.0,Howard Sherman,U.S. Senate Mississippi,Senator,0.0,"('U.S. Senate Mississippi', 'Senator')",1,1207911.0,1.0
564,"SHOCKLEE, LEVII",H8TX06217,DEM,TX,8736.0,Levii Shocklee,U.S. House Texas District 6,Representative,0.0,"('U.S. House Texas District 6', 'Representative')",7,61596.0,0.14182739138905123
565,"SHOEMAKER, ED",H8FL15214,REP,FL,21952.0,Ed Shoemaker,U.S. House Florida District 15,Representative,0.0,"('U.S. House Florida District 15', 'Representative')",3,316694.25,0.06931606746885995
566,"SHORT, GRANT",H8KY02072,DEM,KY,1837.65,Grant Short,U.S. House Kentucky District 2,Representative,0.0,"('U.S. House Kentucky District 2', 'Representative')",4,190886.86000000002,0.009626906744654922
567,"SIDIE, JAY",H6KS03241,DEM,KS,107632.33,Jay Sidie,U.S. House Kansas District 3,Representative,0.0,"('U.S. House Kansas District 3', 'Representative')",5,7093256.309999999,0.015173895499625618
568,"SINGH, HIRSH",H8NJ02216,REP,NJ,165993.74,Hirsh Singh,U.S. House New Jersey District 2,Representative,0.0,"('U.S. House New Jersey District 2', 'Representative')",5,2492102.02,0.06660792321816744
569,"SINGH, HIRSH",S8NJ00483,REP,NJ,0.0,Hirsh Singh,U.S. House New Jersey District 2,Representative,0.0,"('U.S. House New Jersey District 2', 'Representative')",5,2492102.02,0.0
570,"SKINNER, NANCY",H8MI11395,DEM,MI,0.0,Nancy Skinner,U.S. House Michigan District 11,Representative,0.0,"('U.S. House Michigan District 11', 'Representative')",7,8157890.890000001,0.0
572,"SLOTKIN, ELISSA",H8MI08102,DEM,MI,7467572.93,Elissa Slotkin,U.S. House Michigan District 8,Representative,1.0,"('U.S. House Michigan District 8', 'Representative')",1,7467572.93,1.0
573,"SMALLING, DAVID",H8TX35026,REP,TX,46669.0,David Smalling,U.S. House Texas District 35,Representative,1.0,"('U.S. House Texas District 35', 'Representative')",1,46669.0,1.0
574,"SMITH, AJA",H8CA41170,REP,CA,43984.88,Aja Smith,U.S. House California District 41,Representative,1.0,"('U.S. House California District 41', 'Representative')",1,43984.88,1.0
575,"SMITH, CHRISTINA",S8MO00301,REP,MO,5137.0,Christina Smith,U.S. Senate Missouri,Senator,0.0,"('U.S. Senate Missouri', 'Senator')",6,656083.49,0.007829796174264346
578,"SMITH, STEVE",H8AZ01229,REP,AZ,438887.91,Steve Smith,U.S. House Arizona District 1,Representative,0.0,"('U.S. House Arizona District 1', 'Representative')",3,2460954.9,0.1783404929525527
579,"SMITH, TOBY",H8SC01132,DEM,SC,15550.0,Toby Smith,U.S. House South Carolina District 1,Representative,0.0,"('U.S. House South Carolina District 1', 'Representative')",2,2484412.54,0.006259024920233255
580,"SNYDER, MICHAEL",H8ID01132,REP,ID,142729.36,Michael Snyder,U.S. House Idaho District 1,Representative,0.0,"('U.S. House Idaho District 1', 'Representative')",4,1111129.81,0.12845426224322068
581,"SOLOMON, ROBERT",H8PA18157,DEM,PA,285769.74,Robert Solomon,U.S. House Pennsylvania District 14,Representative,0.0,"('U.S. House Pennsylvania District 14', 'Representative')",4,3068491.45,0.09313036867024674
582,"SPANBERGER, ABIGAIL",H8VA07094,DEM,VA,7336619.41,Abigail Spanberger,U.S. House Virginia District 7,Representative,1.0,"('U.S. House Virginia District 7', 'Representative')",1,7336619.41,1.0
583,"SPAULDING, STEPHANY ROSE",H8CO05130,DEM,CO,368323.3,Stephany Rose Spaulding,U.S. House Colorado District 5,Representative,1.0,"('U.S. House Colorado District 5', 'Representative')",1,368323.3,1.0
584,"SPEARMAN, PATRICIA",H8NV04042,DEM,NV,183092.07,Patricia Spearman,U.S. House Nevada District 4,Representative,0.0,"('U.S. House Nevada District 4', 'Representative')",6,1314661.66,0.13926934630466065
585,"SPERLING, PAUL",H8NY11121,DEM,NY,0.0,Paul Sperling,U.S. House New York District 11,Representative,0.0,"('U.S. House New York District 11', 'Representative')",4,4847789.35,0.0
586,"SPOERER, CARL",H8IL15056,DEM,IL,26195.74,Carl Spoerer,U.S. House Illinois District 15,Representative,0.0,"('U.S. House Illinois District 15', 'Representative')",2,79801.63,0.3282607134716421
587,"ST. CLAIR, LUCAS",H8ME02201,DEM,ME,710128.97,Lucas St. Clair,U.S. House Maine District 2,Representative,0.0,"('U.S. House Maine District 2', 'Representative')",3,6606157.779999999,0.1074950059700209
589,"STAUBER, PETE",H8MN08043,REP,MN,1777703.02,Pete Stauber,U.S. House Minnesota District 8,Representative,1.0,"('U.S. House Minnesota District 8', 'Representative')",1,1777703.02,1.0
590,"STEVENS, HALEY",H8MI11254,DEM,MI,4199606.98,Haley Stevens,U.S. House Michigan District 11,Representative,1.0,"('U.S. House Michigan District 11', 'Representative')",7,8157890.890000001,0.5147907757810181
591,"STOCKSTILL, DANNY",H8OK01140,REP,OK,32192.0,Danny Stockstill,U.S. House Oklahoma District 1,Representative,0.0,"('U.S. House Oklahoma District 1', 'Representative')",7,1488296.22,0.021630102641798016
592,"STOLTZ, ERIC",H8NV03283,DEM,NV,0.0,Eric Stoltz,U.S. House Nevada District 3,Representative,0.0,"('U.S. House Nevada District 3', 'Representative')",10,5667748.680000001,0.0
593,"STOVALL, ROBERT",H8TX21273,REP,TX,159554.5,Robert Stovall,U.S. House Texas District 21,Representative,0.0,"('U.S. House Texas District 21', 'Representative')",11,5902529.11,0.027031548176473116
594,"STOVER, LINDSEY DAVIS",H8VA10098,DEM,VA,1045706.61,Lindsey Davis Stover,U.S. House Virginia District 10,Representative,0.0,"('U.S. House Virginia District 10', 'Representative')",3,7870400.1899999995,0.13286574821553007
595,"STUMP, BOB",H6AZ03112,REP,AZ,21980.0,Bob Stump,U.S. House Arizona District 8,Representative,0.0,"('U.S. House Arizona District 8', 'Representative')",13,7602017.289999999,0.0028913378069941225
596,"SUDDARTH, JOHN",H8VA01295,DEM,VA,92041.4,John Suddarth,U.S. House Virginia District 1,Representative,0.0,"('U.S. House Virginia District 1', 'Representative')",2,598954.35,0.15367014197325723
